ID,书名,密码,百度盘,城通,天翼
15945,《九州·缥缈录Ⅳ: 辰月之征（精校精制）》,sejf;5034,http://pan.baidu.com/s/1hrJi3cC#sejf,https://page71.ctfile.com/dir/11851471-23242854-a0fe30/,http://cloud.189.cn/t/FJz2Y3BjAFNz#5034
14004,《存在主义》,e42s;,http://pan.baidu.com/s/1jIDSXZC#e42s,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498242334188&sk=24578ED11A6242943B095C80BF002EEF&ufi=7149121544936777&token=cloud14&sig=ro7NPapjf2KJ20u0woxku0kJ0Sc%3D,https://page71.ctfile.com/dir/11851471-22946868-57bf0e/#
15949,《神奇动物在哪里（剧本）》,piqc;5527,http://pan.baidu.com/s/1ge9Hb8Z#piqc,https://page71.ctfile.com/dir/11851471-23243028-f7be9e/,http://cloud.189.cn/t/buYrE36j2mEv#5527
16402,《第一推动·读懂宇宙的七大经典著作（套装共7册）》,jns0;8295,http://pan.baidu.com/s/1kUBBqlD#jns0,https://page71.ctfile.com/dir/11851471-23448147-758b0b/,http://cloud.189.cn/t/UfieumqEvQV3#8295
14190,《如何迈出第一步：小目标系列（套装共3册） 》,svzr;,http://pan.baidu.com/s/1slucgLR#svzr,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498639944050&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=5152221560474571&token=cloud3&sig=ffuUw3RJQA47z77DI5wyUiJaMU0%3D,https://page71.ctfile.com/dir/11851471-22946985-bf793a/#
13646,《笑的研究:笑的形式、起因、发展和价值》,yuij;,http://pan.baidu.com/s/1jHPhAN8#yuij,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500119379634&sk=24578ED11A6242943B095C80BF002EEF&ufi=4134421520953824&token=cloud14&sig=NIjg16O89YObM4ADw%2FrrfqT9fsM%3D,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500119379627&sk=4650ECCB3BBC9AEC9B9FBD08FAFC6D78&ufi=7134411525508677&token=cloud4&sig=kn%2BTbGNkaBs%2BjS1PzSSnOchfV5g%3D#
14222,《被仰望与被遗忘的》,oe70;,http://pan.baidu.com/s/1o8FhbGA#oe70,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1498648598566&sk=24578ED11A6242943B095C80BF002EEF&ufi=4149021551349785&token=cloud14&sig=9DxRH92sTn8Bm2%2FFe17%2FWJPwnPg%3D,https://page71.ctfile.com/dir/11851471-22947003-a061fa/#
15837,《24格每秒天堂》,l3rq;5678,http://pan.baidu.com/s/1qYCwIkO#l3rq,https://page71.ctfile.com/dir/11851471-23171313-5645b6/,http://cloud.189.cn/t/3iEbAjvqqIVb#5678
15408,《藏地孤旅》,8ydr;,http://pan.baidu.com/s/1c2thQHq#8ydr,https://page71.ctfile.com/dir/11851471-22945557-9f2367/,#
16926,《刺客正传II：皇家刺客》,hf87;3458,http://pan.baidu.com/s/1miupq2W#hf87,https://page71.ctfile.com/dir/11851471-23804876-5240bc/,http://cloud.189.cn/t/uQ7bIrbAzAr2#3458
13561,《纳兰词集》,skxv;,http://pan.baidu.com/s/1c2u1VyS#skxv,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500026604261&sk=24578ED11A6242943B095C80BF002EEF&ufi=2149821525462600&token=cloud14&sig=9%2BlPOpir749WCGI%2BPjkiurCJFAs%3D,http://download.cloud.189.cn/file/downloadFile.action?dt=52&expired=1500026604253&sk=FD5D0BEDAB27BACAC203D383E577659E&ufi=4149121518790401&token=cloud3&sig=pQeTJ5zEle9JbG3n6Ltl2oEtLY0%3D#
